DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
77,381,0.2,85.1,1000
99,263,0.3,90.71,1000
113,257,0.3,85.38,1000
113,29,0.3,97.98,1000
90,17,0.2,97.46,1000
140,93,0.3,99.37,994
98,345,0.3,89.72,990
116,285,0.2,87.19,998
76,407,0.2,78.77,1003
51,472,0.3,84.22,1004
147,131,0.3,90.22,998
105,42,0.2,95.55,990
111,190,0.3,90.91,992
64,382,0.3,87.22,1000
128,77,0.3,92.37,1000
127,171,0.2,89.57,1000
89,32,0.3,85.58,1000
71,368,0.3,82.08,1000
129,222,0.3,83,995
136,119,0.2,91.08,998
118,260,0.2,89.44,1002
131,73,0.2,94.51,1002
123,205,0.2,89.54,1000
106,311,0.2,88.12,992
99,273,0.3,90.15,990
88,366,0.3,83.48,990
57,451,0.3,76.22,992
117,202,0.2,80.36,1000
91,6,0.4,95.93,1000
44,469,0.3,82.09,1000
141,138,0.4,89.26,1000
116,85,0.3,92,990
146,106,0.2,85.55,997
64,358,0.4,84.24,994
56,427,0.3,81.59,1000
55,410,0.3,85.46,1000
52,421,0.2,82.89,1000
76,332,0.2,87.99,1008
84,295,0.3,86.66,1002
69,343,0.3,88.27,1000
98,79,0.4,95.32,994
46,442,0.4,80.6,1000
70,4,0.3,96.91,996
44,441,0.3,83.59,1001
67,353,0.3,85.97,1010
65,341,0.2,86.03,1007
72,15,0.3,99.14,1000
124,68,0.3,96.27,990
54,394,0.3,85.22,1000
88,262,0.3,82.08,1000
111,190,0.3,91.74,990
85,317,0.5,79.92,992
117,173,0.3,81.24,1000
57,1,0.5,97.56,999
83,227,0.3,91.27,992
76,308,0.3,84.93,1000
86,279,0.3,87.06,999
46,1,0.4,96.64,990
89,228,0.2,86.24,992
87,239,0.2,84.59,1000
77,301,0.4,85.54,1002
77,144,0.3,86.89,1010
40,414,0.4,79.16,1010
52,355,0.3,77.81,1007
95,11,0.3,86.31,996
79,240,0.3,87.76,990
90,170,0.5,80.36,990
105,88,0.5,82.75,1002
102,142,0.4,86.39,1007
96,189,0.6,88.96,990
65,280,0.4,89.84,998
85,164,0.4,93.87,1000
70,2,0.4,99.72,995
60,289,0.3,88.07,1000
41,373,0.3,83.31,1000
99,116,0.4,88.91,1000
97,166,0.6,89.89,996
60,306,0.4,82.71,990
40,365,0.3,84.33,990
48,320,0.3,86.79,992
78,142,0.2,88.38,1000
91,169,0.2,93.31,1000
77,45,0.2,94.28,1003
62,64,0.3,94.56,1010
61,17,0.3,94.98,1007
86,28,0.2,100,1000
38,349,0.3,83.51,1000
78,198,0.3,84.27,1001
55,196,0.2,93.44,1000
69,220,0.2,88.62,1000
51,275,0.2,89.27,1000
72,217,0.3,89.98,1000
79,75,0.3,94.33,995
29,1,0.4,99.57,988
67,187,0.4,83.64,993
77,124,0.3,84.22,1005
30,357,0.5,77.23,1005
65,201,0.5,82.24,1008
54,236,0.4,80.9,1018
41,289,0.4,89.22,1005
42,273,0.3,89.99,998
34,144,0.3,85.85,1000
47,274,0.4,84.95,1006
73,60,0.4,96.05,1000
65,79,0.2,94.47,1000
56,135,0.3,95.72,993
30,319,0.4,79.09,1002
30,327,0.4,75.88,1010
31,314,0.4,77.87,1017
51,11,0.4,91.78,1006
57,71,0.4,95.34,996
47,206,0.4,85.67,992
52,197,0.4,79.61,1000
44,154,0.5,84.43,1002
26,316,0.6,81.55,1005
31,282,0.4,79.49,992
25,322,0.5,74.54,1004
25,320,0.5,78.27,1015
30,282,0.4,84.61,1011
34,254,0.3,95.33,1010
60,85,0.3,97.87,1000
57,120,0.6,91.39,996
36,239,0.4,87.42,997
24,300,0.4,82.6,1000
26,290,0.5,85.24,1000
32,14,0.7,94.94,989
42,198,0.5,79.76,994
27,272,0.4,81.09,1010
51,117,0.4,88.23,1014
54,67,0.3,98.55,1000
24,295,0.5,76.43,1005
48,108,0.4,78.68,1015
28,13,0.4,96.68,998
44,93,0.4,83.61,1002
33,10,0.3,90.74,1010
23,268,0.3,85.7,1004
11,179.81,0.6,82.57,994
28,240,0.5,63.85,1005
47,98,0.4,67.67,1016
32,193,0.4,73,1010
42,9,0.4,93.17,1007
46,53,0.3,96.89,1010
36,66,0.3,91.47,998
39,35,0.5,95.05,980
29,139,0.4,80.66,989
28,1,0.4,98.38,980
35,13,0.5,75.38,984
19,246,0.4,73.89,1000
31,142,0.3,99.02,996
22,167,0.5,84.08,986
19,247,0.4,84,998
26,173,0.3,96.59,994
30,4,0.4,98.87,982
32,54,0.4,71.48,993
18,253,0.3,60.57,1008
9,127,0.4,95.27,997
17,254,0.3,74.36,1008
22,127,0.3,97.28,1001
23,81,0.3,99.2,1004
30,9,0.2,94.76,1008
24,48,0.3,95.27,1010
37,43,0.3,94.48,1010
12,127,0.4,98.23,995
23,193,0.3,88.08,990
24,181,0.3,87.62,998
23,2,0.3,97.44,996
36,29,0.3,98.62,982
37,27,0.3,90.92,998
28,68,0.4,92.8,995
30,8,0.5,94.02,968
30,137,0.6,67.91,980
20,228,0.4,58.37,995
35,73,0.4,68.84,990
19,253,0.4,67.81,999
27,166,0.2,67.93,1001
10,127,0.2,96.13,989
17,234,0.4,90.81,982
17,243,0.5,64.58,995
18,240,0.3,63.59,1008
31,5,0.3,86.19,1003
20,212,0.4,84.55,999
20,82,0.5,77.54,987
32,104,0.5,60.57,998
22,32,0.6,56.57,1000
29,111,0.5,70.03,1000
31,64,0.2,76.74,1000
19,240,0.3,75.34,991
19,245,0.4,72.22,992
34,13,0.8,81.59,999
32,8,0.9,80.09,1001
24,183,0.7,84.52,1010
20,179.81,1.4,97.73,988
31,45,1.9,78.32,967
28,141,1.6,67.96,986
28,143,1.3,74.31,1004
35,57,0.7,86.82,1005
34,23,0.8,95.67,994
19,251,1.1,76.84,1011
34,70,0.8,98.3,1012
36,60,1,99.75,1007
38,39,1.3,99.55,995
34,13,0.8,73.5,1014
36,73,1,69.14,1023
36,66,0.8,87.9,1015
41,49,0.5,89.4,1012
33,94,0.7,97.3,995
29,149,1,90.18,996
35,31,1,95.27,989
20,277,0.8,81.39,1001
23,222,0.9,66.94,1013
32,16,1.1,89.52,1006
33,128,1,92.51,987
27,233,1.1,61.61,1000
22,245,0.9,70.68,1014
33,84,0.9,83.58,1017
29,6,0.7,99.93,1006
32,1,0.9,80.76,1012
33,22,1.4,89.06,991
24,256,1.3,86.4,996
46,14,0.8,94.96,1003
40,3,1,95.37,990
28,232,1.2,69.05,1008
52,47,1,88.79,1015
42,6,1.4,97.22,991
50,96,0.5,71.28,1013
40,119,0.7,82.14,1015
38,6,1,85.64,1000
31,189,0.7,69.82,1016
41,13,0.8,96.96,1014
50,11,0.7,99.72,1005
23,2,0.9,90.59,1002
22,343,1,65.65,1022
47,46,0.8,85.02,1010
33,234,0.4,98.91,996
12,3,0.5,99.94,985
22,347,1,63.13,1008
29,4,0.8,88.95,1006
38,256,0.6,86.28,1019
62,43,0.5,99.71,1012
42,153,0.7,99.71,1007
29,295,0.8,70.77,1017
31,308,0.7,61.58,1020
52,75,0.9,88.43,1000
55,83,0.8,69.66,1013
50,10,0.9,98.71,1000
52,245,0.8,86.29,1004
44,215,0.6,93.32,1002
38,1,0.9,91.11,1003
47,243,1.3,86.77,997
50,99,1.5,86.71,997
45,1,1.3,85.82,999
72,76,1.4,83.66,998
72,51,1.3,81.68,998
75,27,1,82.01,1002
39,11,1.5,93.97,992
77,20,0.8,98.68,986
56,257,1,93.63,984
69,163,0.8,95.2,992
79,78,0.7,88.58,1003
83,22,1.7,92.67,989
75,143,1.6,86.78,975
61,266,1,89.52,974
78,111,1,80.25,977
75,193,1.3,64.02,981
34,405,1.1,66.48,987
40,377,1.1,69.59,987
63,251,0.9,76.2,994
72,168,0.9,83.57,998
85,65,1.1,93.46,986
89,56,0.9,93.49,991
96,73,1,89.76,999
88,26,1.2,81.64,1013
40,391,0.8,77.28,1024
37,401,1,78.06,1017
98,31,0.6,98.31,999
58,260,0.7,86.12,1001
91,22,0.7,96.74,995
68,263,0.8,80.4,999
108,49,0.9,87.78,1000
93,213,0.6,74.75,1003
81,238,0.5,72.68,1008
70,15,1,98.64,992
59,299,1.3,70.08,988
40,411,1,60.02,1001
57,3,0.6,97.1,992
58,8,0.7,92.94,992
51,389,1.3,73.58,996
54,414,0.8,73.4,1008
50,376,0.5,77.16,1006
91,174,0.5,84.55,1005
72,20,0.9,95.43,997
53,3,0.8,74.58,1003
105,150,0.7,54.17,1019
110,48,0.9,74.51,1017
50,26,1.2,97.91,991
98,58,0.8,90.35,986
77,24,0.6,90.98,991
89,24,0.6,92.66,994
115,81,0.6,81.92,1004
45,427,0.5,74.76,1008
45,440,0.6,66.59,1014
49,426,0.8,73.63,1013
111,143,0.7,86.46,1010
46,13,1.2,97.99,997
73,332,0.6,88.13,999
47,22,0.7,97.03,999
83,82,0.5,91.6,998
46,23,0.7,94.3,1002
68,3,0.4,89.89,999
104,208,0.7,89.79,996
109,22,0.5,89.6,999
76,2,0.4,91.74,998
56,385,1,82.53,993
100,177,0.6,85.49,1004
94,193,0.6,84.61,1003
47,466,0.5,78.93,1011
111,249,0.4,84.1,1010
67,73,0.8,88.88,1000
100,278,0.7,79.35,995
69,426,0.6,71.4,1007
49,466,0.5,77.7,1006
46,470,0.6,80.26,1001
93,184,0.7,91.11,996
78,385,0.6,71.49,1007
138,64,0.6,89.34,1003
46,472,0.5,69.52,1013
87,345,0.6,72.43,1016
65,5,0.9,95.77,997
54,403,0.6,75.9,1001
132,233,0.6,74.29,1007
100,67,0.6,81.23,997
71,394,0.7,71.41,1003
71,14,0.8,89.77,992
76,23,0.6,88.61,993
52,460,0.6,76.26,1011
97,264,0.6,84.84,1006
88,176,0.6,90.49,998
60,469,0.6,69.03,1006
53,463,0.5,74.53,1003
76,363,0.5,80.45,995
60,20,0.9,93.98,991
121,234,1.1,71.94,1003
91,322,0.7,71.84,1003
68,18,1,92.02,992
67,11,0.4,82.89,996
77,358,0.5,82.45,1006
106,179,0.7,90.04,1005
114,242,0.5,79.02,1000
111,183,0.6,80.87,1001
125,159,0.6,75.18,1005
101,353,0.8,76.9,1002
89,226,0.8,83.69,996
46,3,0.7,95.63,990
54,395,0.6,82.43,994
132,145,0.5,82.39,997
70,410,0.5,72.09,1006
38,1,0.9,94.02,998
92,233,0.8,86.83,986
47,461,0.6,76.56,993
104,180,0.5,84.45,993
44,495,0.5,75.33,1003
134,167,0.5,85.36,1003
100,145,0.5,90.14,993
40,1,1,94.75,995
85,391,0.9,76.14,1003
48,473,0.8,79.61,1002
120,57,0.9,92.19,1005
86,187,0.8,95.52,998
75,383,0.3,81.29,1001
108,50,0.3,89.21,1003
130,232,0.4,86.96,1007
97,317,0.6,87.92,1007
49,453,0.5,81.65,1008
102,335,0.4,85.64,1008
68,196,0.9,92.94,997
40,488,0.7,77.38,1006
80,404,0.6,78.16,1011
50,455,0.8,77.32,1005
52,457,0.7,83.21,999
124,73,0.3,90.37,1000
75,309,0.5,75.13,1005
110,189,0.4,77.81,1012
86,137,0.5,84.91,1008
143,77,0.2,89.15,1002
90,269,0.4,85.36,1000
104,279,0.6,88.11,999
66,7,0.7,96.54,995
139,171,0.4,82.26,1001
72,406,0.4,78.43,1009
87,46,0.6,92.69,1008
104,127,0.6,94.35,1012
84,328,0.6,88.42,1014
47,445,0.5,88.86,1014
59,400,0.7,87.23,1009
79,13,1,93.22,1003
132,137,0.7,88.81,1002
98,151,0.5,90.1,1004
84,202,0.6,91.79,1001
79,359,0.6,81.22,1003
115,210,0.5,82.19,1005
65,395,0.4,79.31,1007
76,281,0.8,87.64,1003
52,406,0.5,81.55,1005
58,304,0.4,86.61,1006
84,64,0.6,97.13,1002
69,314,0.4,82.95,1001
69,241,0.4,83.46,998
118,47,0.4,85.62,997
112,77,0.7,92.54,995
79,305,0.6,83.05,994
52,421,0.5,73.81,1002
102,254,0.4,76.09,1007
88,295,0.4,77.54,1006
101,64,0.5,91.33,1001
83,211,0.6,91.16,997
97,241,0.5,86.2,998
112,190,0.5,76.33,1004
39,3,0.8,95.37,996
104,138,0.7,82.67,1002
103,204,0.7,83.42,1008
80,297,0.4,81.77,1006
87,49,0.8,92.92,996
120,137,0.7,85.78,994
64,350,0.6,78.68,1006
93,254,0.5,79.99,1012
96,240,0.5,85.23,1007
92,183,0.5,84.88,999
78,291,0.6,85.54,999
42,393,0.6,77.91,997
71,180,0.7,87.4,1000
90,241,0.6,75.91,1011
78,252,0.5,80.28,1014
68,274,0.6,79.63,1011
83,244,0.7,82.57,1009
69,70,0.6,83.77,1005
50,311,0.5,73.85,1009
52,272,0.8,82,1002
53,329,0.5,73.5,1005
74,273,0.7,75.43,1003
67,271,0.6,71.54,1010
46,330,0.7,72.71,1018
33,1,0.9,89.9,1014
75,29,0.6,86.83,1009
56,294,0.5,79.75,1010
34,382,0.5,81.52,1010
37,366,0.6,83,1007
46,326,0.5,84.55,1007
42,324,0.8,85.9,1003
84,59,0.8,91.31,995
56,12,0.9,94.58,1000
66,102,0.6,80.98,1009
56,217,0.9,75.58,1009
49,178,1.2,77.7,999
30,378,0.7,74.56,1008
30,408,0.9,62.47,1019
66,231,0.8,68.56,1023
28,11,1.2,93.88,1007
54,18,0.9,90.95,1004
41,28,0.7,96.78,1002
44,232,0.6,86.53,1003
31,349,0.5,76.97,1011
67,56,0.7,81.06,1012
64,16,0.8,84.59,1013
25,159,1.2,98.7,1004
60,40,0.8,94.72,1001
45,253,0.8,82.16,1005
33,335,0.7,73.63,1007
25,19,0.7,89.87,1008
71,90,0.6,78.53,1016
33,14,0.9,92.17,1007
20,159,0.8,90.96,1001
20,159,1,97.51,1000
17,159,0.6,99.8,981
64,29,0.9,86.38,991
47,212,1,82.07,1002
42,232,0.9,81.38,1005
26,333,1.5,77.98,990
40,25,0.8,83.29,995
49,96,1.4,79.36,993
24,331,1.1,73.13,1004
36,5,1.2,95.16,992
32,273,0.7,88.54,987
51,155,1,74.28,1002
32,250,0.7,78.84,1010
39,164,0.9,95.66,993
42,9,1.1,86.86,989
43,104,1.2,76.53,998
30,33,0.9,82.21,1013
23,140,0.8,99.38,998
36,116,0.5,95.85,995
33,8,0.7,96.95,993
40,9,0.7,90.22,1000
20,1,0.5,97.64,998
10,140,0.8,99.26,998
14,140,1.3,96.84,995
27,252,1.3,72.36,1009
49,88,0.6,86.79,1021
26,3,0.9,98.66,1005
25,240,0.9,90.84,992
29,213,1,78.89,1000
19,298,0.7,81.97,1012
13,1,1.3,93.73,994
38,145,1.5,64.22,997
19,299,1.1,72.25,1009
23,140,0.9,87.67,1006
28,226,1.8,69.26,994
24,238,1.1,67.48,1014
24,20,1.1,89.98,993
42,53,1,95.33,994
19,293,0.8,81.93,1010
35,30,0.5,92.58,1008
35,17,0.5,99.88,996
35,93,0.9,96.41,992
35,75,1.4,82.65,996
35,139,1.3,80.62,1004
28,179,0.9,87.07,1002
29,179.81,0.7,99.52,998
27,115,0.7,94.49,1000
23,5,1.1,99.01,990
30,10,0.6,99.27,976
28,23,1.7,94.74,972
32,33,1,94.32,996
30,12,0.5,89.98,1006
32,26,0.6,86.83,1006
28,91,0.7,99.95,982
20,3,0.9,81.85,987
14,264,0.7,69.01,1001
25,25,0.6,83.08,1000
26,150,0.6,92.74,1004
17,234,0.9,78.61,1007
18,244,0.9,72.27,1008
28,141,0.7,83.68,1001
21,211,0.6,78.12,1004
26,147,1,83.6,997
17,245,0.9,78.18,1014
30,99,0.7,91.93,1017
27,43,0.7,99.68,1005
17,212,0.5,92.94,1008
6,147,1,97.2,986
18,147,1.2,93.45,975
21,207,1.1,82.67,995
26,150,0.7,93,1005
32,62,0.6,99.68,1004
25,11,1,100,984
19,215,1,85.12,994
26,37,0.5,72.32,1000
26,10,0.8,73.2,1000
13,235,0.7,77.8,1007
26,158,1,74.44,1015
11,11,0.7,80.86,1015
23,101,0.8,99.66,990
33,66,0.9,77.72,1005
21,197,0.8,78.7,1011
30,42,1,97.16,990
18,237,1.1,79.84,1003
32,84,0.5,86.34,1002
32,103,0.6,95.94,997
29,8,0.4,100,990
31,31,1,97.32,982
26,155,1.1,83.3,1001
29,53,0.5,85.06,1008
33,101,1.1,98.05,983
25,173,0.8,92.12,976
38,44,0.8,79.29,991
30,132,0.9,76.48,1005
18,255,0.7,79.84,1011
20,224,0.6,80.77,1007
20,253,0.8,85.68,997
31,125,0.7,88,999
19,254,0.8,74.41,1007
36,130,0.5,78.56,1008
22,228,0.7,74.55,1008
33,1,1.2,86.59,997
34,28,1,87.1,979
38,94,1.1,69.42,997
35,103,0.6,74.81,1011
36,81,1,99.62,993
34,182,0.8,90.28,989
34,171,0.6,81.57,1007
28,220,0.5,89.26,1008
37,13,0.6,86.03,1000
19,271,0.7,63.12,1005
13,29,0.9,94.71,995
40,80,1.2,67.63,998
38,147,0.9,69.47,1004
28,202,0.9,72.49,1000
23,289,0.9,76.26,1003
38,9,0.6,92.32,1003
42,28,0.5,99.93,998
48,67,0.8,84.56,1005
49,109,0.3,82.5,1010
45,13,0.9,97.92,995
46,135,1.5,65.41,996
22,335,1.4,61.88,1005
21,351,1.3,61.16,1003
24,306,0.7,70.26,1012
18,1,1.1,90.41,994
39,249,1,90.28,991
37,211,0.9,85.78,1006
62,55,0.9,99.41,989
28,309,0.7,74.84,998
50,130,0.5,66.19,997
22,364,1.1,64.41,1004
22,357,1.1,64.63,1011
38,4,0.5,83.86,999
32,309,0.8,83.37,1003
30,344,0.8,78.04,1011
46,187,0.9,80.63,1004
61,133,1.4,93.79,971
48,196,1.7,77.35,987
33,315,1.4,76.07,998
30,352,1,72.44,1000
30,377,0.8,75.38,1009
68,117,0.6,88.54,1005
49,224,0.9,90.3,1001
70,18,1,95.89,990
38,319,0.9,92.71,994
49,238,0.7,89.67,994
40,278,0.8,88.49,1002
44,308,0.9,87.73,1008
42,315,0.9,93.71,1008
46,309,0.9,88.29,1017
61,152,0.9,97.51,993
73,200,0.5,90.5,996
35,391,0.5,81.22,1008
36,381,0.4,84.83,1010
72,113,0.9,94.96,1001
70,214,0.9,94.69,986
44,369,0.9,66.73,997
50,318,0.7,65.27,1004
62,269,0.7,69.53,1010
28,409,0.6,69.22,1012
50,300,0.6,83.54,1010
39,18,1.1,98.29,985
77,13,1.1,93.77,973
35,401,0.8,78.14,992
43,305,0.6,77.2,997
33,426,0.6,62.45,1005
33,427,0.6,58.66,1015
35,419,0.8,79.35,1016
67,9,0.8,93.68,1006
48,15,0.4,95.96,1008
80,197,0.7,96.88,1000
77,20,1.1,80.92,990
38,421,0.8,69.62,1015
28,2,1.4,93.46,993
79,291,1.5,61.93,997
35,450,1,63.13,1009
42,3,0.7,93.6,1005
50,370,0.6,81.19,1004
84,126,0.6,65.47,1005
96,41,0.7,83.41,994
106,136,0.5,84.09,991
91,241,0.7,85.28,1000
52,398,0.6,78.17,1009
108,26,0.7,96.21,1001
56,315,0.5,82.61,997
36,1,0.8,98.11,983
90,22,1,91.95,977
101,101,1,81.49,998
88,205,0.5,75.51,1011
57,5,1.1,95.9,999
97,27,0.8,97.4,1004
103,23,0.7,97.5,1009
55,2,0.3,97.49,1007
40,164,0.6,98.6,1000
103,77,0.4,95.68,990
108,42,0.7,88.26,993
80,246,0.4,80.24,1002
35,164,1,98.23,992
114,188,0.6,86.05,995
99,245,0.9,73.83,1003
133,158,0.7,71.33,1005
75,360,0.7,70.47,1008
59,339,0.5,77.36,1008
79,300,0.4,70.6,1006
53,1,0.4,96.13,999
116,189,0.3,86.02,998
112,206,0.6,86.82,1002
72,317,0.5,78.63,1003
47,442,0.6,77.01,1002
110,184,0.8,81.67,1008
112,23,0.4,86.79,1009
113,73,0.6,90.49,994
130,177,0.6,79.43,998
109,152,0.6,82.41,1003
71,41,1.2,88.83,996
80,43,0.7,98.42,986
105,17,0.5,89.69,993
104,30,0.4,90.17,997
84,36,0.9,90.01,993
112,146,0.5,84.1,1004
41,1,0.5,96.71,996
59,3,0.6,91.97,983
94,57,1.1,84.78,998
137,191,0.5,81.68,1004
53,1,0.5,94.82,997
62,443,0.5,69.23,1002
63,3,0.5,87.87,1000
86,63,0.4,95.86,997
80,362,0.5,74.54,998
114,22,0.6,88.33,996
105,7,0.4,93.2,994
95,16,0.4,94.73,993
105,287,0.4,84.12,998
64,2,0.7,97.01,995
114,77,0.6,94.46,993
98,332,0.5,81.91,997
72,47,0.6,93.01,998
37,2,0.6,98.85,993
51,402,0.3,81.5,997
80,371,0.6,79.17,1002
45,504,0.5,72.39,1009
56,450,0.3,75.07,1008
110,218,0.5,87.67,1000
44,508,0.7,79.15,999
120,156,0.5,81.05,1006
89,204,0.6,92.48,996
59,451,0.5,85.57,998
122,50,0.6,90.16,997
78,242,0.3,88.11,995
123,304,0.5,79.58,999
106,221,0.4,82.73,997
103,223,0.4,85.4,993
46,7,0.5,97.97,981
90,91,0.9,85.9,983
91,290,0.6,82.37,986
73,388,0.4,78.94,993
52,459,0.4,78.71,1002
141,58,0.5,84.1,1008
89,33,0.6,89.14,1009
97,69,0.4,95.24,1004
77,16,0.4,94.36,999
54,4,0.4,98.59,990
80,12,0.8,94.59,988
125,53,0.6,87.57,990
73,369,0.4,83.3,995
62,419,0.4,83.92,1001
102,332,0.4,85.69,1002
74,353,0.7,86.77,994
51,486,0.4,80.8,994
61,464,0.4,79.33,996
56,393,0.6,78.99,996
101,331,0.6,79.74,1000
85,387,0.5,77.93,1003
71,3,0.8,92.89,999
90,32,0.5,92.06,993
118,115,0.6,91.27,995
87,276,0.5,87.72,994
86,333,0.4,84.09,999
107,58,0.7,92.83,996
60,423,0.5,84.89,999
84,351,0.4,84.04,995
69,386,0.5,86.73,989
96,100,0.5,91.04,988
82,272,0.5,86.68,995
101,27,0.3,96.76,994
90,8,0.3,89.1,998
135,92,0.3,87.93,1002
59,428,0.5,75.41,1008
113,259,0.5,83.8,1010
52,406,0.4,80.99,1004
71,298,0.7,88.5,999
57,400,0.5,86.59,1001
68,367,0.5,87.24,1001
135,161,0.4,89.56,1000
50,434,0.5,78.76,1001
102,251,0.6,80.32,1000
112,156,0.6,88.03,994
43,452,0.6,81.32,996
51,414,0.5,79.27,999
81,282,0.4,81.69,999
113,64,0.7,88.46,998
77,219,0.6,90.33,989
101,201,0.6,86.54,990
84,270,0.7,81.53,993
95,234,0.7,84.43,994
92,81,0.7,88.64,993
57,388,0.3,77.98,997
93,273,0.3,74.32,1001
65,332,0.5,77.71,1005
50,366,0.5,77.89,1005
86,47,0.3,90.79,1002
98,31,0.5,93.33,1000
52,338,0.5,82.52,999
65,345,0.5,78.99,1002
57,249,0.7,90.4,995
93,73,0.6,82,995
92,174,0.8,79.49,1004
60,311,0.7,75.64,1012
51,7,0.8,81.62,1008
100,79,0.9,82.55,1000
40,406,0.6,76.33,1000
76,11,0.7,94.47,998
43,361,0.7,85.96,997
41,401,0.6,78.39,1003
42,408,0.5,73.81,1011
77,228,0.8,85.58,1007
72,77,0.5,94.19,1000
54,271,0.6,90.03,1000
43,370,0.7,79.32,998
101,181,0.5,75.96,1003
25,1,1.8,90.3,980
43,324,1.2,79.17,995
50,310,0.6,83.19,1008
57,303,0.5,83.21,1011
42,4,0.9,94.18,1003
78,22,0.7,89.45,1004
67,289,0.8,80.27,1014
60,264,0.8,76.66,1013
55,139,0.7,91.86,1001
78,163,0.6,85.43,996
69,16,0.9,82.88,1001
86,151,0.8,81.11,1008
54,298,0.6,75.91,1009
39,339,0.5,82.62,1000
32,384,0.7,81.14,1002
53,286,0.7,82.56,1003
82,64,0.8,91.22,992
35,1,0.7,96.21,991
51,129,0.5,93.16,990
45,229,0.6,86.81,994
35,342,0.7,85.46,998
34,278,0.6,81.55,1004
48,216,0.7,84.39,1003
31,356,0.8,74.63,1009
73,49,0.6,75.73,1002
39,16,0.9,89.97,991
39,345,0.8,76.04,1002
58,17,0.7,82.12,998
36,337,0.9,83.18,1007
33,323,0.7,77.82,1013
40,190,0.9,91.14,1008
54,25,0.6,93.03,1007
50,209,0.6,82.79,1014
73,106,0.8,80.4,1014
52,7,1.1,82.79,1012
31,20,0.9,97.76,999
41,11,0.6,94.11,998
58,9,0.5,89.87,1003
44,157,0.6,93.27,999
29,313,0.5,80.35,1003
21,55,1.2,91.64,983
41,84,0.9,87.88,982
48,38,0.8,88.03,992
21,327,0.7,84.9,1002
22,277,0.6,81.01,1005
43,184,0.7,89.21,1009
41,9,1.2,92.13,1001
24,322,0.7,85.07,1004
57,108,0.6,86.98,1007
39,61,0.7,85.85,1005
41,187,0.5,81.88,1009
23,272,0.8,82.74,1007
22,287,0.7,83.6,1013
32,99,0.5,94.89,1011
17,129,0.8,98.11,1004
27,87,1.4,82.71,992
19,315,0.6,70.94,1005
38,46,0.6,91.36,999
38,200,0.6,80.71,1010
51,92,0.8,83.39,1013
34,153,1,79.65,1003
34,44,0.8,79.88,1006
33,11,0.8,94.23,990
25,283,0.9,70.98,1005
43,98,0.8,81.59,1004
40,75,0.6,87.75,1004
14,129,1.1,95.51,993
39,90,1.2,72.39,996
23,238,0.5,65.26,1016
26,16,0.9,92.21,1004
22,272,1.1,64.78,1006
21,239,0.6,70.21,1015
18,129,1,89.78,999
35,66,0.6,98.48,988
16,2,0.8,96.26,993
27,25,0.9,94.34,995
30,25,0.7,91.29,990
37,93,1.2,78.7,985
26,44,0.7,89.95,989
22,7,1,94.96,980
17,252,0.7,89.1,998
28,156,0.6,91.03,999
13,6,1.3,98.21,982
35,71,1.5,84.79,987
34,102,1.4,76.11,983
18,253,0.7,71.5,996
31,121,0.8,77.88,996
28,46,0.8,95.27,974
30,99,0.7,95.24,978
30,36,0.4,94.51,983
27,8,0.8,85.81,995
17,256,0.8,70.88,1004
20,208,0.8,80.16,1013
27,6,0.9,94.1,1010
14,1,1.3,98.91,994
8,0,0.7,90.26,1003
24,174,0.9,69.97,1015
26,136,0.4,71.19,1022
32,8,1.1,99.35,1000
28,42,1.1,88.01,977
16,235,1.4,58.34,994
25,34,0.6,73.17,998
32,26,0.6,86.16,987
21,189,0.9,75.87,989
27,105,0.9,81,1003
32,79,0.6,90.11,1015
30,71,0.6,90.77,1008
31,63,0.6,91.02,997
33,53,0.9,84.91,992
25,146,0.7,82.08,1004
19,241,0.8,81.06,1009
26,53,0.6,86.61,1007
30,76,0.8,94.52,996
26,147,0.7,78.97,1001
29,98,0.7,86.06,1006
30,80,1,93.34,1001