Year,Month,Day,Max Temp (°C),Min Temp (°C)
2015,1,1,-2.2,-14.9
2015,1,2,1.3,-10.2
2015,1,3,-10,-14.8
2015,1,4,8.1,-13.4
2015,1,5,8.2,-12.7
2015,1,6,-12.6,-16.2
2015,1,7,-11.6,-19.4
2015,1,8,-13.1,-17.9
2015,1,9,3.6,-16.8
2015,1,10,-5.3,-10.6
2015,1,11,-4.2,-10.6
2015,1,12,3.9,-4.2
2015,1,13,-3,-17.3
2015,1,14,-6,-18.1
2015,1,15,-2.2,-12.1
2015,1,16,2.1,-11.7
2015,1,17,-11.7,-16.8
2015,1,18,5.4,-16.9
2015,1,19,7.5,1
2015,1,20,2.4,-7.9
2015,1,21,-6.4,-12.1
2015,1,22,-5,-13.1
2015,1,23,-3.5,-7.3
2015,1,24,9.8,-3.5
2015,1,25,8.6,-9.9
2015,1,26,-6.7,-11.9
2015,1,27,-3.4,-10.5
2015,1,28,1.3,-10.4
2015,1,29,-4.8,-12.3
2015,1,30,-2.8,-9.6
2015,1,31,0.9,-5.6
2015,2,1,-5.6,-15.8
2015,2,2,-6.2,-17.7
2015,2,3,-6,-15
2015,2,4,-1.7,-17.7
2015,2,5,3.7,-11.7
2015,2,6,-11.2,-15.8
2015,2,7,-6.8,-17
2015,2,8,-11.6,-16.4
2015,2,9,-12.1,-17.8
2015,2,10,-6.2,-14.2
2015,2,11,-10.5,-15.7
2015,2,12,-4,-12.9
2015,2,13,-9.2,-16.5
2015,2,14,-9.2,-19.6
2015,2,15,1.8,-13.2
2015,2,16,-12.1,-14.4
2015,2,17,-6.2,-14.6
2015,2,18,-3.4,-13.2
2015,2,19,0.3,-6.3
2015,2,20,-4.3,-12
2015,2,21,-2.1,-14.2
2015,2,22,5.5,-3.5
2015,2,23,-1.5,-19
2015,2,24,-11.4,-21.7
2015,2,25,2.1,-14.1
2015,2,26,-7,-11.3
2015,2,27,-7.5,-14.1
2015,2,28,-3.7,-14.8
2015,3,1,-1.5,-12.7
2015,3,2,0,-7.7
2015,3,3,-7.5,-13.4
2015,3,4,3.9,-10.4
2015,3,5,0,-12.6
2015,3,6,-7.1,-17.4
2015,3,7,-1.2,-13.4
2015,3,8,0.6,-7
2015,3,9,0.1,-8.8
2015,3,10,2.6,-7.7
2015,3,11,8.9,-2.5
2015,3,12,-1.9,-10.9
2015,3,13,-8,-13.8
2015,3,14,0,-12.4
2015,3,15,-1.5,-6.1
2015,3,16,-5,-7.8
2015,3,17,1.2,-11
2015,3,18,-3.6,-7.6
2015,3,19,-4.7,-9.3
2015,3,20,-1,-9.9
2015,3,21,2.2,-8.4
2015,3,22,1,-13.7
2015,3,23,-8.3,-13.9
2015,3,24,2.3,-11.1
2015,3,25,4.2,-7.3
2015,3,26,4.3,-3.5
2015,3,27,3.2,0.5
2015,3,28,0.5,-6.1
2015,3,29,1.4,-7.2
2015,3,30,1.3,-8.6
2015,3,31,4.5,-1.3
2015,4,1,1.8,-6.2
2015,4,2,1.8,-8.2
2015,4,3,11.4,-2.9
2015,4,4,5.4,-4.8
2015,4,5,0.7,-8
2015,4,6,1.4,-9.6
2015,4,7,1.2,-2.4
2015,4,8,1.3,-5.7
2015,4,9,2.5,-6.5
2015,4,10,7.1,-7.3
2015,4,11,9.9,2.3
2015,4,12,9.5,1
2015,4,13,11.7,0.8
2015,4,14,8.6,2.6
2015,4,15,9.6,-4.2
2015,4,16,5.2,-4.3
2015,4,17,13.6,-0.7
2015,4,18,7.3,-2.8
2015,4,19,6.9,-3
2015,4,20,10.6,-2
2015,4,21,5.6,1.1
2015,4,22,9.4,1.9
2015,4,23,4.9,0.4
2015,4,24,6.1,-0.4
2015,4,25,6.9,-0.9
2015,4,26,7.8,-1.8
2015,4,27,2.6,0.1
2015,4,28,2.8,0.3
2015,4,29,6.7,0.2
2015,4,30,6.3,0.2
2015,5,1,8.5,0.1
2015,5,2,11.4,-1
2015,5,3,17.7,0.2
2015,5,4,21.7,2.7
2015,5,5,20.1,6.8
2015,5,6,16.1,4.7
2015,5,7,17.5,1.6
2015,5,8,12,0.4
2015,5,9,12.6,-0.4
2015,5,10,25.3,8.9
2015,5,11,15,5.9
2015,5,12,15.2,4.6
2015,5,13,14.2,3.3
2015,5,14,17.8,3.1
2015,5,15,22.4,4.6
2015,5,16,22.5,5.7
2015,5,17,12.7,5.5
2015,5,18,18.5,3.6
2015,5,19,19.3,5.9
2015,5,20,14.2,6.8
2015,5,21,20.5,6.2
2015,5,22,8.9,5.1
2015,5,23,9.3,3.3
2015,5,24,17.7,2.9
2015,5,25,26.8,9
2015,5,26,15,9.9
2015,5,27,26,9.9
2015,5,28,23.4,11.6
2015,5,29,23.4,10
2015,5,30,22.8,9.7
2015,5,31,22,5.5
2015,6,1,9,5.4
2015,6,2,6.2,4.9
2015,6,3,12.8,5.1
2015,6,4,17.4,3.8
2015,6,5,16.3,4.1
2015,6,6,11.6,4.7
2015,6,7,16.6,4.2
2015,6,8,20.3,5.3
2015,6,9,21.1,12
2015,6,10,16.7,9.9
2015,6,11,21,8.8
2015,6,12,25.9,13.5
2015,6,13,23.6,13.2
2015,6,14,15.3,6.8
2015,6,15,21.4,7
2015,6,16,16.5,7.8
2015,6,17,20.2,10.8
2015,6,18,21.9,8.3
2015,6,19,14.1,8.6
2015,6,20,21.3,9.9
2015,6,21,17.4,8.9
2015,6,22,15.9,10.5
2015,6,23,17.8,10.1
2015,6,24,22.1,12.2
2015,6,25,23,11.4
2015,6,26,19.1,7.8
2015,6,27,19.3,5.8
2015,6,28,14.1,7.7
2015,6,29,22.1,12
2015,6,30,23.2,11.9
2015,7,1,23,12.4
2015,7,2,24.7,13.7
2015,7,3,24.8,13.5
2015,7,4,26.4,12.7
2015,7,5,25.9,14.2
2015,7,6,25.7,13.4
2015,7,7,26.1,14.2
2015,7,8,24.7,14.8
2015,7,9,24.2,13.5
2015,7,10,23.6,13.6
2015,7,11,26,13.1
2015,7,12,25,13.2
2015,7,13,30,15.6
2015,7,14,26.3,14.2
2015,7,15,25.5,14.9
2015,7,16,22.5,11.8
2015,7,17,23.3,11.6
2015,7,18,22.3,12.6
2015,7,19,17.4,13.3
2015,7,20,21.1,15.9
2015,7,21,17.9,14.5
2015,7,22,20.8,14.8
2015,7,23,23.1,13.3
2015,7,24,19.7,11.9
2015,7,25,16.8,12.3
2015,7,26,19.2,11.9
2015,7,27,20.6,14.3
2015,7,28,20.9,17.1
2015,7,29,25.3,13.9
2015,7,30,26.3,12.6
2015,7,31,27.2,16.9
2015,8,1,28,15.7
2015,8,2,27.4,15.7
2015,8,3,27.1,15.1
2015,8,4,26.3,17.9
2015,8,5,26.8,14.3
2015,8,6,24.6,14.4
2015,8,7,24.8,14.3
2015,8,8,22,13.3
2015,8,9,17.5,14.3
2015,8,10,22.4,14.1
2015,8,11,22.8,12.6
2015,8,12,22.4,17.2
2015,8,13,23.7,17
2015,8,14,26.7,15.9
2015,8,15,26.8,14.8
2015,8,16,28.3,16.2
2015,8,17,29.2,17.4
2015,8,18,28.7,16.4
2015,8,19,29.4,17.3
2015,8,20,26.7,17.1
2015,8,21,26.1,20.4
2015,8,22,24.3,21.5
2015,8,23,26,20.3
2015,8,24,25.1,17.2
2015,8,25,27.6,17.3
2015,8,26,19.5,16.4
2015,8,27,22.5,15.9
2015,8,28,23.9,14.8
2015,8,29,26.2,15
2015,8,30,24.8,15.3
2015,8,31,25.7,15.2
2015,9,1,18.7,10.5
2015,9,2,23.9,9.7
2015,9,3,27.4,11.1
2015,9,4,19.9,9
2015,9,5,24.2,7.7
2015,9,6,29.2,14.9
2015,9,7,27.3,14.3
2015,9,8,23.7,14.4
2015,9,9,19.5,14.6
2015,9,10,25.2,19.1
2015,9,11,23.8,15.5
2015,9,12,20.9,12.7
2015,9,13,17.4,13.6
2015,9,14,24,13
2015,9,15,19.8,14
2015,9,16,23.5,12.4
2015,9,17,28.2,12.2
2015,9,18,28.6,16.6
2015,9,19,23.5,14.8
2015,9,20,24.2,11.2
2015,9,21,18.9,7.1
2015,9,22,18.9,7.1
2015,9,23,21.7,10.5
2015,9,24,20,7.1
2015,9,25,16.7,6.6
2015,9,26,14.7,5.5
2015,9,27,19,5.2
2015,9,28,22.3,9.5
2015,9,29,24,16.8
2015,9,30,23.5,18.6
2015,10,1,21,8.8
2015,10,2,9.6,8.4
2015,10,3,10.2,3
2015,10,4,16.4,1.7
2015,10,5,17.8,5.5
2015,10,6,15.4,9.6
2015,10,7,18.6,8.2
2015,10,8,13.7,5.4
2015,10,9,14.6,3.6
2015,10,10,14.4,2
2015,10,11,12.3,2.9
2015,10,12,21.4,9.2
2015,10,13,18.9,10.8
2015,10,14,22.8,10.7
2015,10,15,16.3,3.1
2015,10,16,18.2,2.5
2015,10,17,11.3,0.9
2015,10,18,6.6,-1.6
2015,10,19,4.7,-1.5
2015,10,20,13.6,0.8
2015,10,21,10.6,1
2015,10,22,14.2,-0.6
2015,10,23,12.9,0
2015,10,24,11.7,3.2
2015,10,25,13.8,5.7
2015,10,26,10,-0.7
2015,10,27,7,-2.6
2015,10,28,9,0.6
2015,10,29,17.8,6.4
2015,10,30,12.9,2.1
2015,10,31,8.2,0
2015,11,1,11.6,2.3
2015,11,2,13.2,4.2
2015,11,3,6.3,2.9
2015,11,4,7.2,0.9
2015,11,5,7.2,2.4
2015,11,6,15.2,5.4
2015,11,7,16,4.6
2015,11,8,5.3,0.3
2015,11,9,11.5,-0.2
2015,11,10,13.3,2.9
2015,11,11,7,3.1
2015,11,12,8.8,3.7
2015,11,13,13.8,6.2
2015,11,14,9.4,2.6
2015,11,15,4.3,2
2015,11,16,6.4,0.1
2015,11,17,3.2,-1.4
2015,11,18,1.5,-0.8
2015,11,19,5.3,-1.1
2015,11,20,8,5.3
2015,11,21,10.4,7.2
2015,11,22,14.9,9.7
2015,11,23,15.2,0.4
2015,11,24,0.5,-4.3
2015,11,25,-0.2,-5.9
2015,11,26,6.2,-5.2
2015,11,27,12.9,5.6
2015,11,28,9.2,-0.6
2015,11,29,-0.2,-6.8
2015,11,30,-3.4,-7.5
2015,12,1,2.1,-4.2
2015,12,2,9.7,-0.8
2015,12,3,9.9,0.1
2015,12,4,0.3,-3.5
2015,12,5,1.8,-2.3
2015,12,6,9.4,1.8
2015,12,7,10.4,-1.1
2015,12,8,2.7,-3.2
2015,12,9,3.9,-1.4
2015,12,10,5.8,1.4
2015,12,11,12.4,4.3
2015,12,12,10.6,2.7
2015,12,13,5.6,-1.7
2015,12,14,-0.1,-2.2
2015,12,15,3.1,-0.7
2015,12,16,1.8,-2.2
2015,12,17,6.4,-3.4
2015,12,18,11.5,6.4
2015,12,19,9.5,-2.6
2015,12,20,-1.8,-5.6
2015,12,21,7.1,-5.2
2015,12,22,5.3,-0.2
2015,12,23,4.5,0.8
2015,12,24,12.8,3
2015,12,25,12.2,4.8
2015,12,26,4.9,-1.3
2015,12,27,0.3,-2.7
2015,12,28,-2.6,-14.5
2015,12,29,-6.8,-14.9
2015,12,30,-2.4,-8
2015,12,31,2.9,-3.5